Halstead_b,Halstead_d,Halstead_e,Halstead_i,Halstead_l,Halstead_lOBlank,Halstead_lOCode,Halstead_lOComment,Halstead_n,Halstead_t,Halstead_v,McCabe_ev(g),McCabe_iv(g),McCabe_loc,McCabe_v(g),SOFTWARE,branchCount,defects,locCodeAndComment,total_Op,total_Opnd,uniq_Op,uniq_Opnd
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,1,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,21.0,2.0,1,3,0,0,0,0,0,0
0.07,10.8,2408.09,20.65,0.09,5,16,1,50.0,133.78,222.97,1.0,2.0,24.0,2.0,1,3,0,0,32,18,12,10
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,11.0,1.0,32.0,14.0,1,27,0,0,0,0,0,0
0.02,4.2,255.97,14.51,0.24,2,7,0,17.0,14.22,60.94,1.0,2.0,11.0,2.0,1,3,0,0,11,6,7,5
0.02,3.5,220.18,17.97,0.29,1,9,0,17.0,12.23,62.91,1.0,2.0,12.0,2.0,1,3,0,0,11,6,7,6
0.03,8.33,866.67,12.48,0.12,1,4,0,26.0,48.15,104.0,1.0,1.0,8.0,2.0,1,3,0,0,16,10,10,6
0.08,4.26,1046.0,57.51,0.23,3,12,0,55.0,58.11,245.27,1.0,1.0,17.0,1.0,1,1,0,0,26,29,5,17
0.01,2.0,54.0,13.5,0.5,0,2,0,9.0,3.0,27.0,1.0,1.0,4.0,1.0,1,1,0,0,5,4,4,4
0.09,16.89,4470.49,15.67,0.06,2,15,1,57.0,248.36,264.7,5.0,3.0,20.0,6.0,1,11,0,0,38,19,16,9
0.02,3.43,241.06,20.51,0.29,0,9,0,19.0,13.39,70.31,1.0,2.0,11.0,2.0,1,3,0,0,11,8,6,7
0.02,3.33,242.16,21.79,0.3,0,4,0,21.0,13.45,72.65,1.0,1.0,6.0,1.0,1,1,0,0,13,8,5,6
0.37,51.6,58031.57,21.8,0.02,8,52,5,206.0,3223.98,1124.64,8.0,5.0,67.0,14.0,1,27,0,0,120,86,24,20
0.02,3.0,139.52,15.5,0.33,1,4,0,14.0,7.75,46.51,1.0,1.0,7.0,1.0,1,1,0,0,10,4,6,4
0.0,1.5,12.0,5.33,0.67,0,2,0,4.0,0.67,8.0,1.0,1.0,4.0,1.0,1,1,0,0,3,1,3,1
0.01,2.5,67.5,10.8,0.4,0,3,0,9.0,3.75,27.0,1.0,1.0,5.0,1.0,1,1,0,0,6,3,5,3
0.01,2.0,31.02,7.75,0.5,0,2,0,6.0,1.72,15.51,1.0,1.0,4.0,1.0,1,1,0,0,4,2,4,2
0.02,5.0,237.74,9.51,0.2,0,3,0,15.0,13.21,47.55,1.0,1.0,5.0,1.0,1,1,0,0,10,5,6,3
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.01,2.0,39.3,9.83,0.5,0,2,0,7.0,2.18,19.65,1.0,1.0,4.0,1.0,1,1,0,0,4,3,4,3
0.17,15.93,8315.43,32.78,0.06,3,27,3,94.0,461.97,522.13,5.0,3.0,35.0,8.0,1,15,0,0,51,43,20,27
0.11,10.53,3563.5,32.15,0.1,2,15,1,66.0,197.97,338.53,4.0,3.0,20.0,4.0,1,7,0,0,41,25,16,19
0.15,7.1,3239.44,64.33,0.14,3,21,1,89.0,179.97,456.51,5.0,3.0,30.0,5.0,1,9,0,3,48,41,9,26
0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1,1,0,0,1,0,1,0
0.12,12.57,4553.63,28.81,0.08,3,20,3,78.0,252.98,362.22,7.0,4.0,28.0,7.0,1,13,0,0,46,32,11,14
0.13,14.0,5564.41,28.39,0.07,4,23,2,81.0,309.13,397.46,6.0,4.0,32.0,6.0,1,11,0,1,49,32,14,16
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19.0,6.0,67.0,19.0,1,37,0,0,0,0,0,0
0.03,6.25,523.51,13.4,0.16,2,9,6,22.0,29.08,83.76,3.0,1.0,19.0,3.0,1,5,0,0,17,5,10,4
0.47,44.18,62806.83,32.18,0.02,8,50,9,269.0,3489.27,1421.77,1.0,1.0,72.0,5.0,1,9,0,0,176,93,19,20
0.0,0.0,0.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1,1,0,0,1,0,1,0
0.01,3.0,95.1,10.57,0.33,1,2,4,10.0,5.28,31.7,1.0,1.0,9.0,1.0,1,1,0,0,7,3,6,3
0.03,3.5,343.35,28.03,0.29,0,6,0,24.0,19.07,98.1,1.0,1.0,8.0,1.0,1,1,0,0,14,10,7,10
0.4,15.61,18941.05,77.71,0.06,6,59,3,200.0,1052.28,1213.22,1.0,7.0,71.0,7.0,1,13,0,0,115,85,18,49
0.03,6.0,578.02,16.05,0.17,3,9,0,29.0,32.11,96.34,1.0,1.0,14.0,1.0,1,1,0,0,17,12,5,5
0.07,9.09,1996.51,24.16,0.11,7,21,0,50.0,110.92,219.62,3.0,3.0,30.0,3.0,1,5,0,0,30,20,10,11
0.27,21.79,17642.5,37.17,0.05,5,31,3,145.0,980.14,809.82,1.0,7.0,41.0,7.0,1,13,0,0,85,61,20,28
0.05,8.75,1277.04,16.68,0.11,1,11,0,35.0,70.95,145.95,1.0,2.0,15.0,3.0,1,5,0,0,21,14,10,8
0.02,3.75,178.31,12.68,0.27,1,5,0,15.0,9.91,47.55,1.0,1.0,8.0,1.0,1,1,0,0,9,6,5,4
0.01,3.0,95.1,10.57,0.33,0,2,0,10.0,5.28,31.7,1.0,1.0,4.0,1.0,1,1,0,0,7,3,6,3
0.02,5.0,225.0,9.0,0.2,1,5,0,15.0,12.5,45.0,1.0,1.0,8.0,1.0,1,1,0,0,9,6,5,3
0.17,21.94,10937.41,22.73,0.05,8,22,2,98.0,607.63,498.57,3.0,2.0,35.0,3.0,1,5,0,1,59,39,18,16
0.05,13.0,2022.66,11.97,0.08,2,11,0,36.0,112.37,155.59,3.0,2.0,15.0,3.0,1,5,0,0,22,14,13,7
0.01,3.0,109.62,12.18,0.33,0,3,0,11.0,6.09,36.54,1.0,1.0,5.0,1.0,1,1,0,0,7,4,6,4
0.09,14.73,3863.94,17.82,0.07,3,14,0,58.0,214.66,262.37,3.0,2.0,19.0,6.0,1,11,0,0,31,27,12,11
0.14,14.64,5931.87,27.68,0.07,2,13,4,79.0,329.55,405.21,4.0,4.0,21.0,6.0,1,11,0,0,48,31,17,18
0.01,2.0,31.02,7.75,0.5,0,2,1,6.0,1.72,15.51,1.0,1.0,6.0,1.0,1,1,0,0,4,2,4,2
0.0,0.0,0.0,0.0,0.0,0,2,1,3.0,0.0,4.75,1.0,1.0,5.0,1.0,1,1,0,0,3,0,3,0
0.55,27.63,45919.21,60.13,0.04,16,82,13,278.0,2551.07,1661.68,1.0,6.0,113.0,9.0,1,17,0,0,175,103,22,41
1.34,73.72,295281.24,54.33,0.01,24,127,23,630.0,16404.5,4005.26,3.0,7.0,176.0,12.0,1,21,0,0,432,198,35,47
0.03,4.0,332.19,20.76,0.25,0,4,0,25.0,18.46,83.05,1.0,1.0,7.0,1.0,1,1,0,0,13,12,4,6
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,3.0,32.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5.0,2.0,33.0,13.0,1,25,0,0,0,0,0,0
0.45,21.27,28670.3,63.36,0.05,11,68,12,244.0,1592.79,1347.75,7.0,7.0,96.0,13.0,1,25,0,0,136,108,13,33
0.63,33.14,62941.53,57.31,0.03,10,73,8,312.0,3496.75,1899.29,8.0,4.0,94.0,10.0,1,19,0,0,198,114,25,43
1.23,41.47,153340.17,89.16,0.02,24,116,19,571.0,8518.9,3697.64,1.0,9.0,163.0,10.0,1,19,0,1,333,238,23,66
0.06,7.33,1320.62,24.56,0.14,0,16,0,41.0,73.37,180.09,1.0,2.0,18.0,4.0,1,5,0,0,30,11,12,9
0.18,14.76,7768.89,35.66,0.07,7,20,6,97.0,431.61,526.35,1.0,4.0,39.0,4.0,1,7,0,4,56,41,18,25
0.01,3.0,114.16,12.68,0.33,1,3,0,11.0,6.34,38.05,1.0,1.0,6.0,1.0,1,1,0,0,6,5,6,5
0.06,9.6,1798.04,19.51,0.1,1,7,0,42.0,99.89,187.3,1.0,3.0,11.0,3.0,1,5,0,0,26,16,12,10
0.0,1.5,12.0,5.33,0.67,0,2,0,4.0,0.67,8.0,1.0,1.0,4.0,1.0,1,1,0,0,3,1,3,1
0.02,4.0,239.18,14.95,0.25,0,3,0,18.0,13.29,59.79,1.0,1.0,5.0,1.0,1,1,0,0,10,8,5,5
0.13,33.75,12748.7,11.19,0.03,1,25,0,86.0,708.26,377.74,8.0,4.0,29.0,8.0,1,15,0,0,59,27,15,6
0.02,6.0,418.56,11.63,0.17,1,9,0,21.0,23.25,69.76,1.0,3.0,12.0,3.0,1,5,0,0,13,8,6,4
0.27,36.0,29106.48,22.46,0.03,9,42,6,149.0,1617.03,808.51,6.0,6.0,59.0,11.0,1,21,0,0,92,57,24,19
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,1,3,0,0,0,0,0,0
0.02,3.6,174.36,13.45,0.28,0,6,0,14.0,9.69,48.43,1.0,2.0,7.0,2.0,1,3,0,1,8,6,6,5
0.04,9.29,1123.7,13.03,0.11,2,10,0,28.0,62.43,121.01,3.0,2.0,14.0,4.0,1,7,0,0,18,10,13,7
0.07,13.22,2751.33,15.74,0.08,4,13,0,46.0,152.85,208.08,3.0,2.0,19.0,4.0,1,7,0,0,29,17,14,9
0.03,9.0,938.23,11.58,0.11,1,7,0,25.0,52.12,104.25,3.0,2.0,10.0,4.0,1,7,0,0,16,9,12,6
0.03,8.25,741.33,10.89,0.12,1,6,0,23.0,41.19,89.86,1.0,2.0,9.0,2.0,1,3,0,0,12,11,9,6
0.01,4.0,126.8,7.92,0.25,0,2,0,10.0,7.04,31.7,1.0,2.0,5.0,2.0,1,3,0,1,6,4,6,3
0.02,4.2,240.91,13.66,0.24,1,4,4,16.0,13.38,57.36,1.0,1.0,11.0,1.0,1,1,0,0,10,6,7,5
0.03,3.57,281.68,22.08,0.28,0,6,0,22.0,15.65,78.87,1.0,1.0,8.0,1.0,1,1,0,0,12,10,5,7
0.03,3.57,281.68,22.08,0.28,0,6,0,22.0,15.65,78.87,1.0,1.0,8.0,1.0,1,1,0,0,12,10,5,7
0.0,1.5,17.41,7.74,0.67,0,2,0,5.0,0.97,11.61,1.0,1.0,4.0,1.0,1,1,0,0,3,2,3,2
0.19,20.59,11627.79,27.43,0.05,8,23,0,114.0,645.99,564.78,1.0,3.0,33.0,3.0,1,4,0,0,64,50,14,17
0.01,2.5,60.0,9.6,0.4,0,2,0,8.0,3.33,24.0,1.0,1.0,4.0,1.0,1,1,0,0,5,3,5,3
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,1,0,0,0,0,0,0
0.09,6.5,1699.87,40.23,0.15,3,12,0,55.0,94.44,261.51,1.0,2.0,15.0,2.0,1,3,0,0,29,26,9,18
0.01,2.5,60.0,9.6,0.4,0,2,0,8.0,3.33,24.0,1.0,1.0,4.0,1.0,1,1,0,0,5,3,5,3
0.04,9.17,974.18,11.59,0.11,2,7,0,26.0,54.12,106.27,3.0,1.0,11.0,4.0,1,7,0,0,16,10,11,6
0.23,25.35,17679.23,27.52,0.04,3,25,0,127.0,982.18,697.47,4.0,4.0,30.0,8.0,1,15,0,0,74,53,22,23
0.07,19.5,3893.23,10.24,0.05,0,9,0,47.0,216.29,199.65,3.0,1.0,11.0,4.0,1,7,0,0,29,18,13,6
0.0,1.5,17.41,7.74,0.67,0,2,0,5.0,0.97,11.61,1.0,1.0,4.0,1.0,1,1,0,0,3,2,3,2
0.12,8.0,2820.26,44.07,0.13,4,17,0,75.0,156.68,352.53,1.0,6.0,23.0,6.0,1,11,0,0,39,36,8,18
0.1,30.0,8565.02,9.52,0.03,3,13,0,65.0,475.83,285.5,1.0,1.0,18.0,4.0,1,7,0,0,35,30,14,7
0.17,13.34,6737.76,37.85,0.07,7,28,1,101.0,374.32,505.0,3.0,8.0,38.0,10.0,1,19,0,0,62,39,13,19
0.02,4.0,229.44,14.34,0.25,1,4,0,16.0,12.75,57.36,1.0,1.0,7.0,1.0,1,1,0,0,12,4,8,4
0.17,11.23,5873.96,46.6,0.09,1,22,0,102.0,326.33,523.19,1.0,3.0,25.0,3.0,1,5,0,0,64,38,13,22
0.34,32.52,33399.05,31.58,0.03,1,56,5,187.0,1855.5,1026.98,1.0,6.0,65.0,10.0,1,16,0,0,119,68,22,23
0.0,1.5,12.0,5.33,0.67,0,2,0,4.0,0.67,8.0,1.0,1.0,4.0,1.0,1,1,0,0,3,1,3,1
0.02,7.5,510.86,9.08,0.13,0,5,0,19.0,28.38,68.11,1.0,1.0,7.0,2.0,1,3,0,0,14,5,9,3
0.02,5.33,276.75,9.73,0.19,0,5,0,15.0,15.38,51.89,1.0,1.0,7.0,2.0,1,3,0,0,11,4,8,3
0.02,7.5,510.86,9.08,0.13,0,5,0,19.0,28.38,68.11,1.0,1.0,7.0,2.0,1,3,0,0,14,5,9,3
0.23,21.33,14662.91,32.22,0.05,3,36,0,134.0,814.61,687.32,15.0,7.0,43.0,15.0,1,29,0,0,70,64,14,21
0.02,5.33,276.75,9.73,0.19,0,5,0,15.0,15.38,51.89,1.0,1.0,7.0,2.0,1,3,0,0,11,4,8,3
0.02,7.5,510.86,9.08,0.13,0,5,0,19.0,28.38,68.11,1.0,1.0,7.0,2.0,1,3,0,0,14,5,9,3
0.02,5.33,276.75,9.73,0.19,0,5,0,15.0,15.38,51.89,1.0,1.0,7.0,2.0,1,3,0,0,11,4,8,3
0.02,5.33,276.75,9.73,0.19,0,5,0,15.0,15.38,51.89,1.0,1.0,7.0,2.0,1,3,0,0,11,4,8,3
0.02,4.0,207.57,12.97,0.25,0,3,0,15.0,11.53,51.89,1.0,1.0,5.0,1.0,1,1,0,0,12,3,8,3
0.02,6.75,374.67,8.22,0.15,0,3,0,15.0,20.81,55.51,1.0,1.0,5.0,2.0,1,3,0,0,9,6,9,4
0.07,6.65,1331.9,30.12,0.15,2,10,0,49.0,73.99,200.29,1.0,2.0,14.0,2.0,1,3,0,0,30,19,7,10
0.07,9.45,2124.09,23.76,0.11,2,13,0,49.0,118.0,224.66,1.0,2.0,17.0,2.0,1,3,0,0,33,16,13,11
0.01,2.0,39.3,9.83,0.5,1,2,0,7.0,2.18,19.65,1.0,1.0,5.0,1.0,1,1,0,0,4,3,4,3
0.01,6.0,248.16,6.89,0.17,0,4,0,16.0,13.79,41.36,1.0,1.0,6.0,1.0,1,1,0,0,10,6,4,2
0.8,97.22,234698.98,24.83,0.01,19,94,25,460.0,13038.83,2414.05,1.0,17.0,141.0,20.0,1,39,0,1,285,175,20,18
2.87,91.44,786210.92,94.04,0.01,53,301,32,1338.0,43678.38,8598.34,6.0,33.0,393.0,74.0,1,147,0,5,808,533,22,65
0.7,70.59,147882.35,29.68,0.01,4,71,7,419.0,8215.69,2095.0,1.0,4.0,84.0,4.0,1,7,0,0,259,160,15,17
0.26,24.29,19053.07,32.29,0.04,5,40,4,142.0,1058.5,784.35,1.0,5.0,53.0,7.0,1,13,0,2,89,53,22,24
1.2,98.57,354399.14,36.47,0.01,7,86,1,597.0,19688.84,3595.35,4.0,15.0,97.0,32.0,1,61,0,1,367,230,30,35
0.05,6.67,906.22,20.39,0.15,3,14,0,32.0,50.35,135.93,3.0,4.0,19.0,5.0,1,9,0,0,20,12,10,9
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.0,1.0,26.0,6.0,1,11,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,4.0,41.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,4.0,41.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9.0,9.0,36.0,10.0,1,19,0,0,0,0,0,0
0.24,11.2,8071.22,64.34,0.09,4,42,0,132.0,448.4,720.64,9.0,9.0,46.0,10.0,1,19,0,0,84,48,14,30
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,22.0,3.0,1,5,0,0,0,0,0,0
0.11,11.29,3703.18,29.03,0.09,3,25,0,65.0,205.73,327.89,1.0,2.0,28.0,3.0,1,5,0,0,41,24,16,17
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.0,3.0,59.0,9.0,1,16,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.0,6.0,74.0,10.0,1,18,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.0,3.0,37.0,6.0,1,11,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,21.0,16.0,135.0,25.0,1,49,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,20.0,2.0,1,3,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.0,3.0,37.0,6.0,1,11,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,23.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,11.0,6.0,70.0,14.0,1,27,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.0,4.0,80.0,9.0,1,17,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9.0,5.0,61.0,9.0,1,17,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,13.0,7.0,125.0,13.0,1,25,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9.0,5.0,61.0,9.0,1,17,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,29.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.0,1.0,43.0,8.0,1,15,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,18.0,2.0,1,3,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5.0,2.0,21.0,5.0,1,9,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,12.0,9.0,45.0,12.0,1,23,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,25.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.0,7.0,67.0,13.0,1,25,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.0,9.0,167.0,30.0,1,59,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,27.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.0,4.0,33.0,7.0,1,13,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,6.0,43.0,6.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,33.0,15.0,153.0,39.0,1,77,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,7.0,106.0,11.0,1,21,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,29.0,15.0,153.0,36.0,1,71,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,7.0,103.0,12.0,1,23,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,2.0,1,3,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.0,4.0,42.0,8.0,1,15,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,23.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.0,6.0,41.0,7.0,1,13,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,18.0,2.0,1,3,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.19,18.75,10782.39,30.67,0.05,3,41,9,114.0,599.02,575.06,1.0,5.0,55.0,7.0,1,13,0,0,69,45,15,18
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,7.0,2.0,47.0,8.0,1,15,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,11.0,6.0,101.0,12.0,1,23,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,14.0,3.0,69.0,16.0,1,31,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,3.0,67.0,5.0,1,9,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,55.0,4.0,1,7,0,0,0,0,0,0
0.03,6.75,538.15,11.81,0.15,2,6,0,24.0,29.9,79.73,1.0,1.0,11.0,1.0,1,1,0,0,15,9,6,4
0.1,14.77,4605.8,21.1,0.07,3,19,4,68.0,255.88,311.78,5.0,1.0,29.0,5.0,1,9,0,0,43,25,13,11
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,21.0,3.0,1,5,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,21.0,91.0,21.0,1,22,0,0,0,0,0,0
0.05,5.45,814.58,27.38,0.18,1,12,0,34.0,45.25,149.34,1.0,2.0,15.0,2.0,1,3,0,0,22,12,10,11
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,53.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,87.0,5.0,1,9,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,32.0,5.0,1,9,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,24.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,24.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,26.0,5.0,1,9,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,8.0,2.0,99.0,13.0,1,25,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,26.0,5.0,1,9,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,26.0,4.0,1,7,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,12.0,5.0,99.0,14.0,1,27,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.0,1.0,44.0,6.0,1,11,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,48.0,6.0,1,11,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,46.0,244.0,46.0,1,49,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,28.0,4.0,1,7,0,0,0,0,0,0
0.48,23.61,33680.49,60.41,0.04,6,88,15,229.0,1871.14,1426.4,1.0,18.0,111.0,22.0,1,35,0,0,140,89,26,49
0.07,10.0,2109.08,21.09,0.1,3,15,0,46.0,117.17,210.91,1.0,1.0,18.0,2.0,1,3,0,0,26,20,12,12
0.09,5.21,1377.69,50.74,0.19,3,23,0,55.0,76.54,264.4,3.0,5.0,28.0,6.0,1,11,0,0,33,22,9,19
0.07,4.43,909.43,46.27,0.23,1,19,0,46.0,50.52,205.13,1.0,4.0,22.0,4.0,1,7,0,0,27,19,7,15
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1,1,0,0,0,0,0,0
0.11,9.67,3320.33,35.53,0.1,4,20,6,70.0,184.46,343.48,1.0,3.0,34.0,3.0,1,5,0,1,41,29,12,18
0.01,4.0,172.08,10.75,0.25,0,3,0,12.0,9.56,43.02,1.0,2.0,6.0,2.0,1,3,0,0,8,4,8,4
0.05,5.25,760.97,27.61,0.19,1,4,0,33.0,42.28,144.95,1.0,1.0,8.0,1.0,1,1,0,0,19,14,9,12
0.02,3.75,246.48,17.53,0.27,1,4,0,19.0,13.69,65.73,1.0,1.0,8.0,1.0,1,1,0,0,10,9,5,6
0.18,26.18,14449.08,21.08,0.04,3,31,4,122.0,802.73,551.87,1.0,3.0,45.0,3.0,1,5,0,0,74,48,12,11
0.15,25.2,11687.28,18.4,0.04,4,27,4,104.0,649.29,463.78,1.0,3.0,42.0,3.0,1,5,0,0,62,42,12,10
1.37,73.51,302786.31,56.03,0.01,17,137,15,679.0,16821.46,4118.87,39.0,5.0,173.0,45.0,1,89,0,0,432,247,25,42
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,2.0,31.0,3.0,1,5,0,0,0,0,0,0
