Halstead_v,McCabe_loc,Halstead_i,Halstead_e,Halstead_t,total_Opnd,uniq_Opnd,total_Op,Halstead_d,Halstead_n,defects
3384.06,168.0,83.2,137649.97,7647.22,191.0,54.0,349.0,40.68,540.0,0
340.0,32.0,38.22,3024.21,168.01,26.0,19.0,42.0,8.89,68.0,0
2378.22,102.0,61.84,91462.4,5081.24,142.0,48.0,241.0,38.46,383.0,0
4807.87,225.0,62.89,367569.05,20420.5,316.0,62.0,421.0,76.45,737.0,0
536.57,37.0,19.26,14952.52,830.7,38.0,15.0,65.0,27.87,103.0,0
1207.88,65.0,39.77,36689.33,2038.3,81.0,24.0,143.0,30.38,224.0,0
294.03,17.0,23.44,3688.76,204.93,23.0,11.0,42.0,12.55,65.0,0
437.22,26.0,31.23,6121.06,340.06,30.0,15.0,60.0,14.0,90.0,0
123.19,13.0,17.92,846.93,47.05,10.0,8.0,19.0,6.87,29.0,0
410.27,22.0,36.82,4571.55,253.98,39.0,14.0,53.0,11.14,92.0,0
142.62,13.0,26.82,758.5,42.14,13.0,11.0,20.0,5.32,33.0,0
85.95,8.0,16.37,451.25,25.07,7.0,6.0,15.0,5.25,22.0,0
27.0,6.0,13.5,54.0,3.0,4.0,4.0,5.0,2.0,9.0,0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64.73,6.0,16.18,258.89,14.38,6.0,6.0,11.0,4.0,17.0,0
19.65,5.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
129.66,17.0,15.72,1069.68,59.43,11.0,8.0,19.0,8.25,30.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
91.38,12.0,22.15,376.93,20.94,11.0,8.0,13.0,4.13,24.0,0
8.0,4.0,5.33,12.0,0.67,1.0,1.0,3.0,1.5,4.0,0
8.0,4.0,5.33,12.0,0.67,1.0,1.0,3.0,1.5,4.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
185.47,19.0,10.99,3129.74,173.87,18.0,8.0,23.0,16.88,41.0,0
1230.18,97.0,23.77,63661.56,3536.75,99.0,22.0,125.0,51.75,224.0,0
993.62,87.0,23.26,42441.62,2357.87,78.0,21.0,104.0,42.71,182.0,0
0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
262.57,25.0,25.91,2660.73,147.82,19.0,15.0,34.0,10.13,53.0,0
685.77,47.0,51.83,9074.16,504.12,57.0,28.0,71.0,13.23,128.0,0
648.26,42.0,51.71,8126.45,451.47,54.0,28.0,67.0,12.54,121.0,0
432.44,29.0,16.37,11416.43,634.25,33.0,10.0,59.0,26.4,92.0,0
186.91,6.0,20.91,1670.5,92.81,13.0,8.0,31.0,8.94,44.0,0
205.13,22.0,15.78,2666.74,148.15,18.0,9.0,28.0,13.0,46.0,0
279.69,20.0,36.48,2144.31,119.13,23.0,18.0,34.0,7.67,57.0,0
2021.0,91.0,41.99,97260.72,5403.37,110.0,24.0,258.0,48.13,368.0,0
68.11,10.0,23.84,194.61,10.81,8.0,7.0,11.0,2.86,19.0,0
1384.07,45.0,49.43,38754.01,2153.0,112.0,34.0,132.0,28.0,244.0,0
152.93,20.0,26.28,889.75,49.43,16.0,11.0,20.0,5.82,36.0,0
569.8,27.0,35.4,9171.0,509.5,52.0,21.0,60.0,16.1,112.0,0
136.16,14.0,16.5,1123.34,62.41,15.0,10.0,16.0,8.25,31.0,0
187.98,17.0,30.96,1141.33,63.41,17.0,14.0,24.0,6.07,41.0,0
418.76,30.0,27.53,6369.62,353.87,34.0,19.0,47.0,15.21,81.0,0
51.89,6.0,11.86,227.03,12.61,5.0,4.0,10.0,4.38,15.0,0
510.32,72.0,28.35,9185.7,510.32,36.0,15.0,68.0,18.0,104.0,0
824.79,65.0,35.8,19003.21,1055.73,64.0,25.0,88.0,23.04,152.0,0
600.32,47.0,47.85,7531.29,418.41,46.0,22.0,72.0,12.55,118.0,0
132.0,8.0,13.33,1306.8,72.6,9.0,5.0,24.0,9.9,33.0,0
50.19,5.0,11.15,225.85,12.55,3.0,3.0,11.0,4.5,14.0,0
60.94,8.0,13.54,274.25,15.24,3.0,3.0,14.0,4.5,17.0,0
1202.86,61.0,37.25,38840.84,2157.82,91.0,31.0,119.0,32.29,210.0,0
60.94,7.0,10.16,365.67,20.31,6.0,4.0,11.0,6.0,17.0,0
1008.11,54.0,34.6,29369.72,1631.65,76.0,30.0,100.0,29.13,176.0,0
51.89,5.0,12.97,207.57,11.53,3.0,3.0,12.0,4.0,15.0,0
158.12,12.0,18.25,1370.4,76.13,13.0,9.0,23.0,8.67,36.0,0
1329.9,63.0,30.27,58423.84,3245.77,91.0,29.0,139.0,43.93,228.0,0
418.43,45.0,29.06,6025.39,334.74,36.0,15.0,52.0,14.4,88.0,0
420.6,32.0,29.38,6021.24,334.51,34.0,19.0,48.0,14.32,82.0,0
100.0,10.0,15.0,666.67,37.04,8.0,6.0,17.0,6.67,25.0,0
50.19,10.0,14.34,175.66,9.76,5.0,5.0,9.0,3.5,14.0,0
572.02,33.0,27.63,11840.9,657.83,46.0,20.0,63.0,20.7,109.0,0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
758.16,39.0,36.69,15664.53,870.25,61.0,31.0,72.0,20.66,133.0,0
3822.41,255.0,77.06,189602.1,10533.45,213.0,73.0,354.0,49.6,567.0,0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
466.37,32.0,25.51,8525.76,473.65,50.0,18.0,58.0,18.28,96.0,0
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41.21,7.0,17.17,98.9,5.49,6.0,5.0,7.0,2.4,13.0,0
992.19,89.0,29.29,33604.92,1866.94,82.0,23.0,102.0,33.87,184.0,0
814.35,48.0,41.05,16156.66,897.59,62.0,25.0,90.0,19.84,152.0,0
1581.36,105.0,49.5,50515.51,2806.42,115.0,45.0,143.0,31.94,258.0,0
2139.1,122.0,36.71,124658.08,6925.45,130.0,29.0,240.0,58.28,370.0,0
533.83,33.0,28.2,10106.29,561.46,49.0,22.0,52.0,18.93,101.0,0
627.99,55.0,47.57,8289.44,460.52,44.0,25.0,74.0,13.2,118.0,0
291.43,25.0,15.83,5364.91,298.05,27.0,11.0,35.0,18.41,62.0,0
977.55,76.0,42.19,22652.19,1258.45,84.0,29.0,94.0,23.17,178.0,0
3039.98,171.0,85.63,107919.29,5995.52,213.0,69.0,253.0,35.5,466.0,0
0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
559.62,47.0,14.2,22058.39,1225.47,43.0,12.0,67.0,39.42,110.0,0
1626.06,107.0,87.11,30353.11,1686.28,112.0,42.0,168.0,18.67,280.0,0
2295.2,137.0,46.74,112701.06,6261.17,159.0,34.0,238.0,49.1,397.0,0
1795.52,105.0,36.39,88588.88,4921.6,133.0,31.0,179.0,49.34,312.0,0
994.27,53.0,31.83,31061.04,1725.61,71.0,25.0,108.0,31.24,179.0,0
503.8,31.0,28.29,8972.46,498.47,44.0,21.0,52.0,17.81,96.0,0
548.16,36.0,27.54,10910.97,606.16,44.0,21.0,59.0,19.9,103.0,0
532.19,32.0,28.28,10014.9,556.38,46.0,22.0,54.0,18.82,100.0,0
1180.97,66.0,58.74,23744.99,1319.17,90.0,47.0,104.0,20.11,194.0,0
900.34,40.0,67.13,12075.16,670.84,76.0,34.0,87.0,13.41,163.0,0
692.39,49.0,51.93,9231.84,512.88,60.0,27.0,71.0,13.33,131.0,0
38.05,4.0,10.87,133.19,7.4,4.0,4.0,7.0,3.5,11.0,0
269.34,33.0,22.28,3256.61,180.92,19.0,11.0,39.0,12.09,58.0,0
2159.53,132.0,63.44,73515.84,4084.21,160.0,47.0,196.0,34.04,356.0,0
396.82,32.0,35.61,4421.73,245.65,36.0,21.0,42.0,11.14,78.0,0
34.87,4.0,17.43,69.74,3.87,5.0,5.0,6.0,2.0,11.0,0
787.19,42.0,50.91,12171.15,676.18,67.0,26.0,83.0,15.46,150.0,0
34.87,4.0,17.43,69.74,3.87,5.0,5.0,6.0,2.0,11.0,0
525.0,37.0,58.33,4725.0,262.5,46.0,23.0,59.0,9.0,105.0,0
546.99,49.0,34.19,8751.88,486.22,42.0,21.0,63.0,16.0,105.0,0
552.2,51.0,34.51,8835.23,490.85,42.0,21.0,64.0,16.0,106.0,0
2838.85,81.0,83.19,96875.9,5381.99,182.0,56.0,271.0,34.13,453.0,0
1197.09,92.0,48.42,29594.84,1644.16,89.0,27.0,133.0,24.72,222.0,0
44.97,9.0,14.99,134.92,7.5,5.0,5.0,8.0,3.0,13.0,0
44.97,9.0,14.99,134.92,7.5,5.0,5.0,8.0,3.0,13.0,0
1950.0,38.0,14.63,260000.0,14444.44,160.0,12.0,230.0,133.33,390.0,0
30.0,5.0,15.0,60.0,3.33,4.0,4.0,6.0,2.0,10.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
71.7,11.0,11.95,430.2,23.9,6.0,4.0,14.0,6.0,20.0,0
0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
546.99,49.0,34.19,8751.88,486.22,42.0,21.0,63.0,16.0,105.0,0
116.0,9.0,13.92,966.67,53.7,10.0,6.0,19.0,8.33,29.0,0
2067.63,98.0,70.9,60293.86,3349.66,142.0,56.0,186.0,29.16,328.0,0
1893.56,106.0,65.86,54439.88,3024.44,130.0,52.0,174.0,28.75,304.0,0
988.53,54.0,36.56,26728.43,1484.91,74.0,26.0,106.0,27.04,180.0,0
397.46,34.0,35.07,4504.53,250.25,34.0,18.0,47.0,11.33,81.0,0
0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
499.76,40.0,53.55,4664.41,259.13,28.0,27.0,63.0,9.33,91.0,0
0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
377.83,19.0,25.4,5620.23,312.23,34.0,16.0,43.0,14.88,77.0,0
177.2,17.0,34.64,906.44,50.36,19.0,13.0,22.0,5.12,41.0,0
140.23,16.0,10.23,1923.16,106.84,12.0,7.0,19.0,13.71,31.0,0
177.2,17.0,34.64,906.44,50.36,19.0,13.0,22.0,5.12,41.0,0
140.23,16.0,10.23,1923.16,106.84,12.0,7.0,19.0,13.71,31.0,0
0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
141.78,17.0,21.81,921.55,51.2,13.0,9.0,21.0,6.5,34.0,0
106.61,12.0,25.84,439.75,24.43,11.0,8.0,17.0,4.13,28.0,0
106.61,13.0,25.84,439.75,24.43,11.0,8.0,17.0,4.13,28.0,0
11.61,4.0,7.74,17.41,0.97,2.0,2.0,3.0,1.5,5.0,0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
776.95,51.0,53.79,11222.67,623.48,65.0,27.0,82.0,14.44,147.0,0
68.53,10.0,19.58,239.86,13.33,7.0,7.0,11.0,3.5,18.0,0
1191.28,69.0,52.14,27216.16,1512.01,99.0,26.0,128.0,22.85,227.0,0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
299.32,26.0,21.83,4104.96,228.05,24.0,14.0,37.0,13.71,61.0,0
74.23,6.0,14.14,389.71,21.65,7.0,6.0,12.0,5.25,19.0,0
36.54,5.0,12.18,109.62,6.09,4.0,4.0,7.0,3.0,11.0,0
95.18,15.0,21.15,428.33,23.8,9.0,7.0,16.0,4.5,25.0,0
284.27,21.0,18.5,4367.39,242.63,26.0,11.0,36.0,15.36,62.0,0
353.04,29.0,16.14,7718.78,428.82,37.0,11.0,40.0,21.86,77.0,0
262.71,17.0,19.11,3612.2,200.68,22.0,8.0,41.0,13.75,63.0,0
399.37,32.0,15.66,10183.98,565.78,34.0,10.0,52.0,25.5,86.0,0
938.66,42.0,42.93,20522.49,1140.14,74.0,22.0,109.0,21.86,183.0,0
2177.98,109.0,52.79,89865.49,4992.53,146.0,46.0,207.0,41.26,353.0,0
96.21,11.0,10.69,865.9,48.11,8.0,4.0,18.0,9.0,26.0,0
559.82,40.0,46.1,6797.87,377.66,51.0,21.0,62.0,12.14,113.0,0
276.48,27.0,29.58,2584.07,143.56,27.0,13.0,35.0,9.35,62.0,0
650.1,32.0,36.5,11579.99,643.33,57.0,24.0,66.0,17.81,123.0,0
394.73,26.0,20.24,7697.19,427.62,36.0,12.0,49.0,19.5,85.0,0
175.76,11.0,13.67,2259.78,125.54,18.0,7.0,25.0,12.86,43.0,0
96.21,12.0,12.69,729.6,40.53,13.0,6.0,13.0,7.58,26.0,0
182.66,20.0,12.04,2770.36,153.91,14.0,6.0,30.0,15.17,43.0,0
0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
827.19,26.0,33.57,20384.28,1132.46,69.0,21.0,91.0,24.64,160.0,0
85.95,8.0,14.33,515.71,28.65,8.0,6.0,14.0,6.0,22.0,0
279.68,32.0,18.93,4131.68,229.54,25.0,11.0,36.0,14.77,61.0,0
312.16,30.0,12.74,7647.93,424.88,28.0,8.0,42.0,24.5,70.0,0
0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
510.53,22.0,39.94,6525.86,362.55,42.0,23.0,56.0,12.78,98.0,0
196.0,16.0,17.93,2142.0,119.0,17.0,7.0,32.0,10.93,49.0,0
0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
280.54,18.0,16.5,4769.15,264.95,20.0,10.0,39.0,17.0,59.0,0
430.45,33.0,31.02,5972.45,331.8,37.0,12.0,61.0,13.88,98.0,0
36.54,4.0,12.18,109.62,6.09,4.0,4.0,7.0,3.0,11.0,0
152.93,9.0,32.77,713.65,39.65,16.0,12.0,20.0,4.67,36.0,0
360.0,28.0,38.97,3325.26,184.74,27.0,19.0,45.0,9.24,72.0,0
194.18,9.0,21.58,1747.58,97.09,18.0,7.0,33.0,9.0,51.0,0
682.44,61.0,40.85,11399.82,633.32,49.0,22.0,82.0,16.7,131.0,0
568.69,27.0,20.77,15572.12,865.12,49.0,17.0,61.0,27.38,110.0,0
275.1,29.0,18.62,4063.94,225.77,25.0,11.0,35.0,14.77,60.0,0
140.62,13.0,12.56,1574.91,87.49,14.0,5.0,24.0,11.2,38.0,0
150.12,9.0,29.49,764.23,42.46,16.0,11.0,20.0,5.09,36.0,0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
164.23,18.0,13.61,1982.53,110.14,13.0,7.0,25.0,12.07,38.0,0
423.05,17.0,18.13,9871.1,548.39,35.0,12.0,53.0,23.33,88.0,0
237.74,15.0,22.08,2560.32,142.24,20.0,13.0,30.0,10.77,50.0,0
96.0,6.0,16.46,560.0,31.11,7.0,6.0,17.0,5.83,24.0,0
354.44,24.0,18.9,6645.82,369.21,30.0,8.0,55.0,18.75,85.0,0
0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
687.6,30.0,60.6,7801.62,433.42,59.0,26.0,74.0,11.35,133.0,0
422.26,29.0,22.99,7755.5,430.86,29.0,15.0,54.0,18.37,83.0,0
149.34,22.0,20.89,1067.77,59.32,13.0,10.0,21.0,7.15,34.0,0
396.34,30.0,24.18,6497.07,360.95,27.0,14.0,53.0,16.39,80.0,0
0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
235.02,24.0,27.65,1997.69,110.98,17.0,13.0,33.0,8.5,50.0,0
157.17,16.0,20.78,1188.62,66.03,11.0,8.0,26.0,7.56,37.0,0
339.83,23.0,15.25,7573.45,420.75,26.0,7.0,54.0,22.29,80.0,0
3401.14,237.0,30.81,375433.37,20857.41,205.0,26.0,386.0,110.38,591.0,0
0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
569.67,37.0,30.83,10526.44,584.8,34.0,23.0,68.0,18.48,102.0,0
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
944.53,89.0,43.55,20486.51,1138.14,74.0,29.0,97.0,21.69,171.0,0
236.84,30.0,22.31,2514.11,139.67,23.0,13.0,28.0,10.62,51.0,0
1698.0,103.0,49.65,58071.6,3226.2,114.0,40.0,169.0,34.2,283.0,0
312.48,25.0,25.75,3791.4,210.63,28.0,15.0,37.0,12.13,65.0,0
33.69,9.0,10.11,112.29,6.24,5.0,3.0,7.0,3.33,12.0,0
286.62,15.0,21.3,3857.44,214.3,19.0,12.0,40.0,13.46,59.0,0
96.0,12.0,7.93,1161.6,64.53,11.0,5.0,13.0,12.1,24.0,0
96.0,12.0,7.93,1161.6,64.53,11.0,5.0,13.0,12.1,24.0,0
325.48,25.0,24.05,4404.89,244.72,29.0,15.0,38.0,13.53,67.0,0
0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
403.48,20.0,10.07,16167.89,898.22,33.0,7.0,55.0,40.07,88.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
19.65,4.0,9.83,39.3,2.18,3.0,3.0,4.0,2.0,7.0,0
1446.75,75.0,57.54,36375.41,2020.86,88.0,28.0,177.0,25.14,265.0,0
198.81,16.0,23.39,1689.87,93.88,17.0,10.0,29.0,8.5,46.0,0
0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39.0,5.0,13.0,117.0,6.5,6.0,4.0,7.0,3.0,13.0,0
1892.62,107.0,59.3,60402.76,3355.71,150.0,47.0,162.0,31.91,312.0,0
455.94,22.0,45.59,4559.43,253.3,45.0,18.0,52.0,10.0,97.0,0
490.35,30.0,20.24,11881.56,660.09,42.0,13.0,60.0,24.23,102.0,0
85.95,16.0,25.79,286.51,15.92,10.0,9.0,12.0,3.33,22.0,0
0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
368.02,15.0,55.4,2444.68,135.82,31.0,21.0,44.0,6.64,75.0,0
0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
303.08,23.0,35.82,2564.51,142.47,22.0,13.0,45.0,8.46,67.0,0
114.69,11.0,22.94,573.47,31.86,9.0,9.0,18.0,5.0,27.0,0
284.6,19.0,30.98,2614.76,145.26,21.0,16.0,37.0,9.19,58.0,0
131.69,13.0,26.6,651.84,36.21,11.0,10.0,20.0,4.95,31.0,0
5675.28,281.0,270.53,119057.45,6614.3,386.0,138.0,396.0,20.98,782.0,0
961.1,48.0,24.33,37963.44,2109.08,79.0,23.0,96.0,39.5,174.0,0
666.46,34.0,23.43,18957.02,1053.17,64.0,18.0,67.0,28.44,131.0,0
211.52,18.0,18.89,2369.02,131.61,14.0,10.0,31.0,11.2,45.0,0
1434.42,66.0,53.72,38298.92,2127.72,89.0,35.0,158.0,26.7,247.0,0
171.9,14.0,23.44,1260.57,70.03,16.0,12.0,22.0,7.33,38.0,0
158.12,12.0,39.53,632.49,35.14,16.0,14.0,20.0,4.0,36.0,0
141.78,12.0,21.81,921.55,51.2,13.0,9.0,21.0,6.5,34.0,0
451.71,31.0,84.58,2412.57,134.03,47.0,22.0,48.0,5.34,95.0,0
167.37,19.0,39.23,714.12,39.67,16.0,15.0,21.0,4.27,37.0,0
353.11,28.0,30.92,4032.86,224.05,31.0,19.0,39.0,11.42,70.0,0
1049.92,66.0,48.27,22835.76,1268.65,87.0,38.0,93.0,21.75,180.0,0
353.11,16.0,47.77,2609.93,145.0,34.0,23.0,36.0,7.39,70.0,0
2231.63,111.0,151.86,32795.22,1821.96,169.0,69.0,183.0,14.7,352.0,0
1274.89,72.0,95.32,17051.67,947.31,107.0,56.0,101.0,13.38,208.0,0
1610.83,52.0,131.5,19732.68,1096.26,140.0,40.0,150.0,12.25,290.0,0
189.99,18.0,45.71,789.64,43.87,19.0,16.0,23.0,4.16,42.0,0
9091.8,266.0,154.36,535507.18,29750.4,589.0,115.0,691.0,58.9,1279.0,0
1839.35,74.0,81.28,41621.78,2312.32,144.0,35.0,189.0,22.63,333.0,0
862.21,57.0,94.27,7886.05,438.11,75.0,41.0,77.0,9.15,152.0,0
1060.29,69.0,102.96,10918.78,606.6,88.0,47.0,93.0,10.3,181.0,0
2429.13,95.0,100.77,58552.86,3252.94,170.0,67.0,208.0,24.1,378.0,0
166.91,12.0,37.09,751.09,41.73,18.0,14.0,20.0,4.5,38.0,0
655.39,25.0,74.53,5762.91,320.16,51.0,29.0,73.0,8.79,124.0,0
6363.0,425.0,99.67,406216.63,22567.59,353.0,94.0,556.0,63.84,909.0,0
2986.25,110.0,75.64,117903.64,6550.2,201.0,28.0,364.0,39.48,565.0,0
2986.25,106.0,75.64,117903.64,6550.2,201.0,28.0,364.0,39.48,565.0,0
366.41,30.0,13.48,9961.73,553.43,29.0,8.0,52.0,27.19,81.0,0
366.41,30.0,13.48,9961.73,553.43,29.0,8.0,52.0,27.19,81.0,0
17955.7,519.0,214.88,1500388.97,83354.94,1103.0,165.0,1269.0,83.56,2372.0,0
247.25,21.0,58.87,1038.47,57.69,24.0,20.0,28.0,4.2,52.0,0
7201.87,245.0,167.38,309865.86,17214.77,491.0,97.0,563.0,43.03,1054.0,0
210.91,18.0,48.78,911.87,50.66,21.0,17.0,25.0,4.32,46.0,0
182.84,16.0,39.18,853.24,47.4,20.0,15.0,21.0,4.67,41.0,0
1845.8,133.0,101.2,33667.41,1870.41,152.0,50.0,158.0,18.24,310.0,0
9072.0,192.0,176.85,465360.0,25853.33,554.0,108.0,742.0,51.3,1296.0,0
390.0,23.0,29.47,5161.76,286.76,30.0,17.0,48.0,13.24,78.0,0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15690.88,472.0,224.01,1099074.9,61059.72,1005.0,165.0,1072.0,70.05,2077.0,0
867.47,38.0,40.04,18795.28,1044.18,65.0,24.0,98.0,21.67,163.0,0
318.95,30.0,24.27,4191.89,232.88,23.0,14.0,42.0,13.14,65.0,0
2627.85,127.0,93.34,73984.09,4110.22,183.0,65.0,227.0,28.15,410.0,0
1421.28,72.0,118.26,17081.67,948.98,118.0,54.0,118.0,12.02,236.0,0
1641.26,78.0,64.87,41519.9,2306.66,125.0,42.0,154.0,25.3,279.0,0
1213.24,57.0,109.66,13423.09,745.73,104.0,47.0,104.0,11.06,208.0,0
3922.52,100.0,236.82,64969.6,3609.42,262.0,87.0,331.0,16.56,593.0,0
261.33,22.0,20.1,3397.46,188.75,26.0,12.0,31.0,13.0,57.0,0
2762.45,138.0,84.19,90642.81,5035.71,200.0,64.0,231.0,32.81,431.0,0
528.54,30.0,58.49,4775.74,265.32,46.0,28.0,54.0,9.04,100.0,0
1544.43,48.0,168.98,14115.6,784.2,113.0,68.0,132.0,9.14,245.0,0
2160.6,142.0,139.39,33489.35,1860.52,155.0,70.0,183.0,15.5,338.0,0
1182.0,89.0,68.08,20521.53,1140.09,96.0,47.0,101.0,17.36,197.0,0
1684.75,99.0,114.02,24894.09,1383.0,132.0,67.0,133.0,14.78,265.0,0
14082.68,360.0,260.81,760414.2,42245.23,883.0,139.0,1050.0,54.0,1933.0,0
5853.14,363.0,280.2,122265.62,6792.53,376.0,126.0,445.0,20.89,821.0,0
240.81,15.0,22.93,2528.5,140.47,21.0,11.0,33.0,10.5,54.0,0
607.74,44.0,28.94,12762.57,709.03,44.0,22.0,68.0,21.0,112.0,0
558.35,27.0,107.38,2903.43,161.3,52.0,30.0,56.0,5.2,108.0,0
1370.77,52.0,91.25,20591.97,1144.0,104.0,45.0,130.0,15.02,234.0,0
1772.07,69.0,88.89,35325.77,1962.54,131.0,46.0,169.0,19.93,300.0,0
116.69,12.0,17.29,787.67,43.76,9.0,8.0,18.0,6.75,27.0,0
11778.06,404.0,191.05,726113.14,40339.62,725.0,147.0,868.0,61.65,1586.0,0
18395.11,522.0,207.99,1626925.91,90384.77,1125.0,159.0,1320.0,88.44,2445.0,0
6216.6,253.0,105.57,366067.77,20337.1,425.0,83.0,499.0,58.89,924.0,0
1150.27,66.0,54.17,24423.22,1356.85,83.0,43.0,109.0,21.23,191.0,0
1090.85,52.0,50.09,23758.8,1319.93,99.0,25.0,112.0,21.78,211.0,0
374.44,25.0,41.01,3418.78,189.93,35.0,23.0,38.0,9.13,73.0,0
2953.45,230.0,126.22,69110.62,3839.48,234.0,50.0,266.0,23.4,500.0,0
990.93,56.0,41.72,23534.59,1307.48,85.0,34.0,88.0,23.75,173.0,0
2848.93,108.0,125.42,64711.47,3595.08,212.0,56.0,256.0,22.71,468.0,0
15.51,4.0,7.75,31.02,1.72,2.0,2.0,4.0,2.0,6.0,0
0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
357.63,31.0,16.48,7760.51,431.14,31.0,10.0,47.0,21.7,78.0,0
692.86,31.0,58.49,8207.69,455.98,56.0,26.0,77.0,11.85,133.0,0
2595.83,127.0,47.49,141892.68,7882.93,177.0,34.0,272.0,54.66,449.0,0
105.49,19.0,15.63,712.03,39.56,9.0,6.0,18.0,6.75,27.0,0
1551.24,75.0,46.07,52235.72,2901.98,100.0,49.0,144.0,33.67,244.0,0
1080.0,51.0,55.99,20833.95,1157.44,79.0,43.0,101.0,19.29,180.0,0
1401.48,67.0,92.85,21155.16,1175.29,103.0,58.0,122.0,15.09,225.0,0
2372.81,101.0,77.45,72698.95,4038.83,160.0,47.0,234.0,30.64,394.0,0
530.0,23.0,44.85,6263.64,347.98,52.0,22.0,54.0,11.82,106.0,0
2093.55,99.0,201.88,21710.89,1206.16,160.0,54.0,193.0,10.37,353.0,0
5701.13,258.0,142.53,228045.0,12669.17,352.0,88.0,492.0,40.0,844.0,0
2877.71,130.0,66.66,124230.38,6901.69,208.0,53.0,254.0,43.17,462.0,0
