Halstead_n,Halstead_v,Halstead_l,Halstead_d,Halstead_i,Halstead_e,Halstead_b,Halstead_t,Halstead_lOCode,Halstead_lOComment,Halstead_lOBlank,SOFTWARE,defects
111.0,582.52,0.07,13.78,42.27,8027.12,0.19,445.95,29,6,3,1,0
30.0,120.0,0.24,4.2,28.57,504.0,0.04,28.0,12,0,2,1,0
46.0,191.82,0.08,11.79,16.28,2260.7,0.06,125.59,10,1,2,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
156.0,841.2,0.04,22.78,36.93,19162.57,0.28,1064.59,41,9,5,1,0
94.0,465.69,0.08,12.95,35.97,6029.52,0.16,334.97,20,1,5,1,0
222.0,1360.7,0.06,17.48,77.84,23786.59,0.45,1321.48,63,0,18,1,0
393.0,2349.07,0.02,41.25,56.95,96899.18,0.78,5383.29,110,23,10,1,0
103.0,532.5,0.11,9.23,57.69,4915.41,0.18,273.08,26,0,4,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
72.0,330.12,0.06,17.14,19.26,5657.01,0.11,314.28,17,3,4,1,0
50.0,216.1,0.2,4.93,43.85,1065.05,0.07,59.17,20,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
618.0,3665.2,0.01,78.82,46.5,288888.69,1.22,16049.37,114,12,14,1,0
298.0,1490.0,0.02,66.3,22.47,98787.0,0.5,5488.17,59,0,7,1,0
478.0,2737.95,0.01,68.23,40.13,186819.18,0.91,10378.84,83,7,9,1,0
42.0,168.0,0.18,5.7,29.47,957.6,0.06,53.2,6,0,1,1,0
169.0,905.43,0.03,33.08,27.37,29946.97,0.3,1663.72,43,4,7,1,0
9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,3,0,0,1,0
743.0,4538.63,0.01,74.5,60.92,338128.21,1.51,18784.9,101,9,22,1,0
166.0,916.91,0.04,28.14,32.58,25801.88,0.31,1433.44,49,7,11,1,0
44.0,196.21,0.11,9.0,21.8,1765.93,0.07,98.11,14,0,0,1,0
36.0,152.93,0.14,7.2,21.24,1101.06,0.05,61.17,11,0,1,1,0
52.0,249.98,0.08,12.0,20.83,2999.79,0.08,166.65,18,5,4,1,0
284.0,1839.11,0.04,24.02,76.55,44181.7,0.61,2454.54,76,19,11,1,0
51.0,250.25,0.07,13.71,18.25,3432.02,0.08,190.67,16,21,4,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
86.0,430.0,0.1,10.48,41.05,4504.76,0.14,250.26,29,0,2,1,0
82.0,410.0,0.06,16.0,25.63,6560.0,0.14,364.44,23,0,11,1,0
13.0,44.97,0.19,5.33,8.43,239.85,0.01,13.33,4,0,1,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
70.0,325.07,0.07,13.54,24.01,4401.99,0.11,244.55,13,0,4,1,0
16.0,57.36,0.17,6.0,9.56,344.16,0.02,19.12,4,0,2,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
387.0,2364.0,0.02,62.71,37.7,148252.29,0.79,8236.24,106,44,38,1,0
142.0,801.43,0.05,21.72,36.89,17410.32,0.27,967.24,37,0,6,1,0
110.0,559.62,0.1,9.8,57.08,5486.72,0.19,304.82,15,9,7,1,0
23.0,82.45,0.25,4.0,20.61,329.82,0.03,18.32,5,0,0,1,0
58.0,262.37,0.29,3.47,75.56,911.0,0.09,50.61,19,4,4,1,0
27.0,112.59,0.15,6.87,16.37,774.04,0.04,43.0,11,0,1,1,0
54.0,250.77,0.1,9.75,25.72,2444.99,0.08,135.83,11,0,4,1,0
15.0,53.77,0.17,6.0,8.96,322.65,0.02,17.92,5,1,0,1,0
79.0,371.33,0.03,34.88,10.65,12950.3,0.12,719.46,18,2,4,1,0
54.0,253.82,0.04,24.75,10.26,6282.14,0.08,349.01,14,1,3,1,0
15.0,51.89,0.5,2.0,25.95,103.78,0.02,5.77,4,0,1,1,0
141.0,734.53,0.06,17.05,43.09,12520.45,0.24,695.58,37,0,7,1,0
74.0,351.86,0.09,10.66,33.02,3749.53,0.12,208.31,26,0,5,1,0
174.0,996.66,0.08,12.0,83.05,11959.9,0.33,664.44,39,6,7,1,0
24.0,96.0,0.37,2.73,35.2,261.82,0.03,14.55,4,0,0,1,0
70.0,356.12,0.13,7.64,46.64,2719.48,0.12,151.08,16,2,5,1,0
13.0,41.21,0.42,2.4,17.17,98.9,0.01,5.49,3,0,0,1,0
11.0,33.0,0.5,2.0,16.5,66.0,0.01,3.67,4,1,1,1,0
7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,1,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,1,0
11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,3,0,0,1,0
54.0,247.59,0.11,9.0,27.51,2228.29,0.08,123.79,12,2,2,1,0
69.0,331.71,0.14,7.34,45.18,2435.43,0.11,135.3,18,3,3,1,0
33.0,132.0,0.15,6.5,20.31,858.0,0.04,47.67,8,2,3,1,0
36.0,160.54,0.1,10.5,15.29,1685.67,0.05,93.65,12,0,4,1,0
33.0,144.95,0.1,9.75,14.87,1413.23,0.05,78.51,10,0,2,1,0
46.0,213.62,0.1,10.29,20.76,2198.48,0.07,122.14,10,0,3,1,0
45.0,203.56,0.11,8.71,23.38,1772.67,0.07,98.48,15,0,1,1,0
117.0,626.83,0.05,19.0,32.99,11909.84,0.21,661.66,26,3,0,1,0
4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,1,0
128.0,634.14,0.06,17.05,37.19,10812.04,0.21,600.67,24,0,3,1,0
45.0,206.32,0.11,9.5,21.72,1960.07,0.07,108.89,10,0,3,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
24.0,96.0,0.2,5.0,19.2,480.0,0.03,26.67,8,0,2,1,0
98.0,494.35,0.08,12.89,38.34,6374.52,0.16,354.14,16,0,4,1,0
4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,2,0,0,1,0
26.0,98.99,0.19,5.33,18.56,527.95,0.03,29.33,10,5,2,1,0
23.0,87.57,0.21,4.67,18.76,408.66,0.03,22.7,9,0,2,1,0
4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,1,0
7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,1,0
7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,1,0
30.0,120.0,0.17,6.0,20.0,720.0,0.04,40.0,11,0,2,1,0
8.0,20.68,0.67,1.5,13.79,31.02,0.01,1.72,3,0,0,1,0
161.0,797.63,0.06,17.33,46.04,13818.86,0.27,767.71,35,2,4,1,0
177.0,800.67,0.09,11.11,72.06,8896.34,0.27,494.24,17,0,1,1,0
89.0,467.07,0.05,19.94,23.43,9312.12,0.16,517.34,20,0,3,1,0
36.0,140.65,0.2,5.0,28.13,703.24,0.05,39.07,11,0,3,1,0
23.0,89.86,0.16,6.29,14.3,564.82,0.03,31.38,7,0,2,1,0
126.0,695.97,0.06,16.71,41.66,11627.48,0.23,645.97,34,1,3,1,0
237.0,1394.19,0.04,28.21,49.43,39323.21,0.46,2184.62,63,2,2,1,0
16.0,55.35,0.44,2.29,24.22,126.52,0.02,7.03,4,0,1,1,0
51.0,227.43,0.19,5.37,42.38,1220.55,0.08,67.81,10,0,0,1,0
180.0,976.73,0.06,16.68,58.55,16295.07,0.33,905.28,64,0,16,1,0
78.0,393.46,0.11,8.75,44.97,3442.8,0.13,191.27,22,0,5,1,0
43.0,185.84,0.09,11.61,16.01,2157.84,0.06,119.88,21,2,3,1,0
25.0,86.49,0.2,5.0,17.3,432.43,0.03,24.02,4,0,0,1,0
33.0,137.61,0.1,10.21,13.47,1405.56,0.05,78.09,14,0,4,1,0
203.0,1194.18,0.03,30.03,39.77,35858.47,0.4,1992.14,38,0,6,1,0
9.0,23.26,0.5,2.0,11.63,46.53,0.01,2.58,3,0,1,1,0
5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,4,0,0,1,0
143.0,775.96,0.08,11.92,65.12,9246.81,0.26,513.71,35,42,10,1,0
94.0,530.52,0.06,17.46,30.38,9264.49,0.18,514.69,27,7,3,1,0
213.0,1263.25,0.03,30.57,41.33,38612.14,0.42,2145.12,47,13,10,1,0
53.0,225.14,0.12,8.55,26.33,1924.95,0.08,106.94,18,17,3,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
299.0,1838.77,0.05,22.19,82.85,40810.58,0.61,2267.25,75,8,14,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
171.0,974.78,0.05,20.91,46.61,20384.27,0.32,1132.46,42,3,3,1,0
164.0,900.66,0.04,23.33,38.6,21015.49,0.3,1167.53,51,0,2,1,0
26.0,104.0,0.11,9.17,11.35,953.33,0.03,52.96,7,0,2,1,0
448.0,2727.18,0.02,48.81,55.87,133116.85,0.91,7395.38,114,2,18,1,0
47.0,212.61,0.09,11.45,18.56,2435.32,0.07,135.3,18,1,2,1,0
68.0,343.02,0.05,20.77,16.52,7124.24,0.11,395.79,27,0,1,1,0
60.0,294.41,0.1,10.5,28.04,3091.34,0.1,171.74,18,0,1,1,0
41.0,185.47,0.09,11.05,16.78,2049.4,0.06,113.86,14,0,5,1,0
85.0,417.09,0.05,19.0,21.95,7924.63,0.14,440.26,25,0,4,1,0
54.0,253.82,0.06,16.36,15.51,4153.47,0.08,230.75,21,0,2,1,0
194.0,1150.56,0.03,29.34,39.21,33760.81,0.38,1875.6,38,0,7,1,0
54.0,256.76,0.08,12.92,19.87,3318.18,0.09,184.34,21,0,2,1,0
81.0,393.5,0.06,17.68,22.26,6956.46,0.13,386.47,26,0,4,1,0
22.0,88.0,0.17,5.79,15.21,509.14,0.03,28.29,10,3,2,1,0
19.0,72.34,0.19,5.4,13.4,390.63,0.02,21.7,7,0,2,1,0
22.0,81.41,0.24,4.08,19.94,332.42,0.03,18.47,8,0,3,1,0
220.0,1215.18,0.02,40.0,30.38,48607.35,0.41,2700.41,53,7,10,1,0
29.0,123.19,0.22,4.5,27.38,554.35,0.04,30.8,7,0,1,1,0
38.0,176.47,0.08,12.44,14.18,2196.03,0.06,122.0,13,3,2,1,0
78.0,370.88,0.07,14.39,25.77,5338.04,0.12,296.56,27,0,5,1,0
572.0,3704.12,0.01,92.24,40.16,341686.13,1.23,18982.56,177,3,23,1,0
33.0,144.95,0.09,11.38,12.74,1648.77,0.05,91.6,7,0,1,1,0
40.0,180.94,0.07,14.06,12.87,2544.5,0.06,141.36,13,0,2,1,0
42.0,192.57,0.05,19.43,9.91,3741.33,0.06,207.85,11,0,2,1,0
132.0,687.65,0.04,26.92,25.55,18509.19,0.23,1028.29,38,0,2,1,0
10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,5,0,1,1,0
37.0,159.91,0.12,8.56,18.69,1368.13,0.05,76.01,15,0,2,1,0
146.0,777.0,0.05,20.67,37.6,16058.03,0.26,892.11,36,0,7,1,0
47.0,209.59,0.13,7.92,26.47,1659.28,0.07,92.18,21,0,3,1,0
52.0,260.0,0.07,14.62,17.79,3800.0,0.09,211.11,12,9,4,1,0
83.0,399.01,0.05,20.67,19.31,8246.21,0.13,458.12,27,5,9,1,0
92.0,471.89,0.06,15.58,30.28,7353.68,0.16,408.54,26,0,4,1,0
40.0,163.5,0.07,14.4,11.35,2354.38,0.05,130.8,9,0,0,1,0
130.0,618.14,0.04,26.18,23.61,16183.91,0.21,899.11,28,0,3,1,0
169.0,943.86,0.04,25.28,37.34,23858.65,0.31,1325.48,41,5,3,1,0
22.0,89.92,0.18,5.71,15.74,513.85,0.03,28.55,6,0,0,1,0
74.0,343.65,0.06,16.14,21.27,5551.19,0.11,308.4,17,0,3,1,0
208.0,1243.27,0.04,26.74,46.5,33242.04,0.41,1846.78,39,0,4,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
26.0,104.0,0.1,10.0,10.4,1040.0,0.03,57.78,9,0,2,1,0
22.0,78.87,0.13,7.5,10.52,591.52,0.03,32.86,9,0,1,1,0
335.0,1986.8,0.02,45.09,44.06,89588.86,0.66,4977.16,61,1,11,1,0
112.0,520.11,0.05,18.92,27.49,9842.12,0.17,546.78,47,0,2,1,0
99.0,465.34,0.05,19.0,24.49,8841.53,0.16,491.2,27,0,1,1,0
29.0,110.41,0.22,4.5,24.54,496.86,0.04,27.6,14,0,1,1,0
50.0,240.37,0.08,13.33,18.03,3204.9,0.08,178.05,13,6,3,1,0
28.0,116.76,0.11,9.43,12.38,1100.86,0.04,61.16,10,0,2,1,0
79.0,395.0,0.05,18.64,21.19,7363.93,0.13,409.11,18,0,2,1,0
43.0,185.84,0.12,8.18,22.71,1520.53,0.06,84.47,15,0,3,1,0
200.0,1098.37,0.04,26.0,42.25,28557.64,0.37,1586.54,61,4,9,1,0
106.0,548.01,0.04,22.5,24.36,12330.27,0.18,685.02,30,2,5,1,0
24.0,100.08,0.13,8.0,12.51,800.63,0.03,44.48,5,0,1,1,0
55.0,279.81,0.07,14.29,19.59,3997.29,0.09,222.07,12,0,1,1,0
29.0,118.54,0.14,7.31,16.21,866.8,0.04,48.16,10,0,1,1,0
137.0,769.22,0.06,16.47,46.71,12668.01,0.26,703.78,31,0,3,1,0
236.0,1288.43,0.03,32.0,40.26,41229.63,0.43,2290.53,46,5,4,1,0
27.0,116.69,0.13,7.5,15.56,875.19,0.04,48.62,5,0,1,1,0
25.0,104.25,0.13,8.0,13.03,833.99,0.03,46.33,10,0,1,1,0
25.0,104.25,0.13,8.0,13.03,833.99,0.03,46.33,10,0,1,1,0
9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,5,0,0,1,0
189.0,1025.56,0.03,31.98,32.07,32794.73,0.34,1821.93,36,10,9,1,0
61.0,272.03,0.09,11.67,23.32,3173.63,0.09,176.31,18,2,4,1,0
94.0,412.88,0.04,24.67,16.74,10184.32,0.14,565.8,15,0,4,1,0
46.0,210.91,0.08,11.9,17.72,2509.81,0.07,139.43,15,0,2,1,0
162.0,850.16,0.03,36.67,23.19,31172.69,0.28,1731.82,46,0,9,1,0
30.0,122.62,0.12,8.44,14.53,1034.64,0.04,57.48,10,0,2,1,0
222.0,1336.97,0.03,34.43,38.83,46034.98,0.45,2557.5,46,0,9,1,0
76.0,389.83,0.04,25.38,15.36,9895.57,0.13,549.75,30,0,4,1,0
71.0,341.32,0.06,16.67,20.48,5688.7,0.11,316.04,19,0,2,1,0
29.0,120.93,0.12,8.64,13.99,1045.16,0.04,58.06,11,0,2,1,0
65.0,315.77,0.05,20.54,15.37,6486.42,0.11,360.36,19,0,1,1,0
90.0,423.04,0.03,28.8,14.69,12183.54,0.14,676.86,15,0,1,1,0
169.0,893.23,0.02,43.84,20.37,39162.68,0.3,2175.7,37,0,3,1,0
15.0,53.77,0.29,3.5,15.36,188.21,0.02,10.46,6,0,0,1,0
37.0,148.0,0.1,10.29,14.39,1522.29,0.05,84.57,12,0,3,1,0
249.0,1578.62,0.05,22.21,71.09,35056.31,0.53,1947.57,54,0,5,1,0
16.0,59.21,0.21,4.8,12.33,284.19,0.02,15.79,6,0,1,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
12.0,41.51,0.33,3.0,13.84,124.54,0.01,6.92,6,0,1,1,0
30.0,135.71,0.11,9.38,14.48,1272.25,0.05,70.68,9,0,1,1,0
10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,5,1,0,1,0
235.0,1352.4,0.04,22.95,58.93,31033.99,0.45,1724.11,48,7,1,1,0
133.0,687.6,0.04,22.82,30.14,15688.14,0.23,871.56,29,8,4,1,0
100.0,512.92,0.08,13.3,38.58,6819.61,0.17,378.87,31,11,5,1,0
305.0,1738.63,0.03,34.55,50.32,60067.0,0.58,3337.06,52,0,8,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
65.0,322.02,0.08,13.13,24.54,4226.55,0.11,234.81,22,3,3,1,0
194.0,970.0,0.03,28.78,33.71,27914.44,0.32,1550.8,57,20,11,1,0
206.0,1201.58,0.04,26.72,44.97,32106.8,0.4,1783.71,51,5,6,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
97.0,509.05,0.04,23.33,21.82,11877.81,0.17,659.88,40,5,3,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
29.0,129.32,0.11,8.75,14.78,1131.58,0.04,62.87,9,0,1,1,0
28.0,124.86,0.11,8.75,14.27,1092.56,0.04,60.7,7,0,0,1,0
102.0,461.4,0.1,10.4,44.37,4798.59,0.15,266.59,20,43,7,1,0
76.0,361.37,0.07,14.4,25.1,5203.75,0.12,289.1,21,4,4,1,0
62.0,294.8,0.07,13.46,21.9,3969.31,0.1,220.52,20,3,1,1,0
15.0,49.83,0.4,2.5,19.93,124.57,0.02,6.92,9,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
39.0,178.81,0.12,8.5,21.04,1519.92,0.06,84.44,18,0,1,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
579.0,3855.1,0.02,51.15,75.36,197199.3,1.29,10955.52,151,51,10,1,0
36.0,144.0,0.12,8.36,17.23,1203.43,0.05,66.86,9,3,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
22.0,85.95,0.12,8.25,10.42,709.1,0.03,39.39,7,0,1,1,0
143.0,750.45,0.07,15.34,48.92,11511.96,0.25,639.55,34,2,4,1,0
35.0,148.68,0.11,8.94,16.64,1328.8,0.05,73.82,15,0,0,1,0
82.0,420.6,0.09,11.0,38.24,4626.61,0.14,257.02,24,0,3,1,0
65.0,312.48,0.08,13.0,24.04,4062.21,0.1,225.68,13,0,0,1,0
409.0,2271.83,0.02,52.22,43.5,118639.85,0.76,6591.1,78,9,4,1,0
61.0,302.21,0.08,11.94,25.31,3608.69,0.1,200.48,17,0,2,1,0
69.0,328.09,0.05,21.25,15.44,6971.85,0.11,387.33,14,1,2,1,0
37.0,148.0,0.06,15.4,9.61,2279.2,0.05,126.62,16,0,1,1,0
38.0,158.46,0.1,10.0,15.85,1584.57,0.05,88.03,19,0,1,1,0
167.0,869.98,0.04,26.53,32.8,23077.33,0.29,1282.07,37,23,2,1,0
47.0,215.49,0.15,6.6,32.65,1422.26,0.07,79.01,11,0,0,1,0
296.0,1530.3,0.03,34.5,44.36,52795.27,0.51,2933.07,57,3,5,1,0
19.0,70.31,0.16,6.4,10.99,449.97,0.02,25.0,8,0,1,1,0
33.0,147.16,0.12,8.67,16.98,1275.4,0.05,70.86,9,0,2,1,0
261.0,1566.0,0.05,20.44,76.63,32003.04,0.52,1777.95,65,3,18,1,0
223.0,1283.34,0.04,23.07,55.62,29608.49,0.43,1644.92,57,10,9,1,0
318.0,1794.75,0.03,39.66,45.26,71172.91,0.6,3954.05,68,6,10,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
174.0,938.26,0.03,33.18,28.28,31133.28,0.31,1729.63,38,5,5,1,0
266.0,1537.84,0.03,28.76,53.46,44234.31,0.51,2457.46,70,7,9,1,0
76.0,369.21,0.06,16.62,22.22,6134.51,0.12,340.81,24,2,3,1,0
188.0,1066.42,0.04,22.56,47.26,24061.01,0.36,1336.72,50,6,8,1,0
65.0,315.77,0.1,9.75,32.39,3078.75,0.11,171.04,18,0,2,1,0
194.0,951.94,0.03,39.81,23.91,37898.98,0.32,2105.5,29,5,4,1,0
224.0,1251.03,0.04,24.55,50.97,30707.14,0.42,1705.95,38,0,2,1,0
54.0,250.77,0.11,9.04,27.75,2265.87,0.08,125.88,16,1,4,1,0
81.0,397.46,0.07,14.0,28.39,5564.41,0.13,309.13,23,2,4,1,0
79.0,401.91,0.1,10.21,39.35,4105.22,0.13,228.07,25,5,7,1,0
21.0,79.95,0.15,6.67,11.99,533.03,0.03,29.61,7,1,16,1,0
56.0,266.27,0.08,12.5,21.3,3328.42,0.09,184.91,20,4,4,1,0
18.0,64.53,0.25,4.0,16.12,258.12,0.02,14.34,9,0,1,1,0
49.0,186.56,0.11,9.0,20.73,1679.04,0.06,93.28,8,0,0,1,0
62.0,298.06,0.08,12.5,23.84,3725.7,0.1,206.98,20,2,5,1,0
140.0,750.06,0.04,26.77,28.02,20081.08,0.25,1115.62,44,18,7,1,0
17.0,62.91,0.33,3.0,20.97,188.72,0.02,10.48,4,0,0,1,0
97.0,480.56,0.05,18.82,25.53,9044.77,0.16,502.49,27,0,3,1,0
94.0,461.25,0.05,19.69,23.43,9080.81,0.15,504.49,19,0,1,1,0
139.0,660.93,0.06,16.47,40.13,10885.9,0.22,604.77,19,0,1,1,0
651.0,4205.09,0.03,38.0,110.66,159793.42,1.4,8877.41,181,51,9,1,0
46.0,205.13,0.13,7.62,26.94,1562.17,0.07,86.79,13,1,2,1,0
56.0,269.21,0.09,11.0,24.47,2961.33,0.09,164.52,15,6,9,1,0
62.0,307.16,0.07,14.54,21.13,4465.64,0.1,248.09,12,5,2,1,0
43.0,191.76,0.11,9.0,21.31,1725.8,0.06,95.88,12,6,7,1,0
100.0,535.76,0.05,18.57,28.85,9949.74,0.18,552.76,18,0,7,1,0
63.0,272.28,0.11,9.0,30.25,2450.53,0.09,136.14,11,0,4,1,0
21.0,66.57,0.4,2.5,26.63,166.42,0.02,9.25,6,0,0,1,0
93.0,395.06,0.03,30.86,12.8,12190.34,0.13,677.24,17,0,1,1,0
31.0,114.71,0.1,9.6,11.95,1101.25,0.04,61.18,7,0,3,1,0
26.0,98.99,0.15,6.67,14.85,659.94,0.03,36.66,10,0,2,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
54.0,253.82,0.1,10.0,25.38,2538.24,0.08,141.01,17,3,2,1,0
64.0,297.21,0.13,7.53,39.47,2237.79,0.1,124.32,14,1,7,1,0
43.0,179.31,0.07,14.0,12.81,2510.29,0.06,139.46,9,0,2,1,0
59.0,266.89,0.09,10.77,24.78,2874.2,0.09,159.68,13,0,2,1,0
39.0,176.42,0.12,8.25,21.38,1455.46,0.06,80.86,11,0,1,1,0
144.0,766.36,0.05,18.58,41.25,14236.57,0.26,790.92,29,4,7,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
34.0,157.89,0.1,9.55,16.54,1507.14,0.05,83.73,12,0,3,1,0
11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,2,0,0,1,0
16.0,48.0,0.67,1.5,32.0,72.0,0.02,4.0,6,5,4,1,0
64.0,307.67,0.08,13.0,23.67,3999.72,0.1,222.21,18,0,2,1,0
47.0,195.99,0.1,9.6,20.42,1881.47,0.07,104.53,15,0,2,1,0
43.0,194.51,0.14,7.31,26.62,1421.44,0.06,78.97,7,0,1,1,0
71.0,341.32,0.08,12.38,27.58,4223.86,0.11,234.66,16,0,1,1,0
83.0,403.21,0.17,5.89,68.5,2373.45,0.13,131.86,16,0,3,1,0
85.0,421.11,0.05,19.2,21.93,8085.25,0.14,449.18,19,0,3,1,0
17.0,62.91,0.4,2.5,25.16,157.27,0.02,8.74,3,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,1,0
39.0,181.11,0.14,7.07,25.61,1280.71,0.06,71.15,11,0,1,1,0
39.0,181.11,0.14,7.07,25.61,1280.71,0.06,71.15,11,0,1,1,0
25.0,100.0,0.18,5.5,18.18,550.0,0.03,30.56,6,0,0,1,0
144.0,766.36,0.05,18.58,41.25,14236.57,0.26,790.92,29,4,7,1,0
237.0,1243.76,0.04,24.04,51.74,29896.28,0.41,1660.9,33,6,6,1,0
11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,2,0,1,1,0
11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,3,0,0,1,0
112.0,579.03,0.06,16.55,35.0,9580.34,0.19,532.24,24,0,8,1,0
6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,1,0
8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,3,0,0,1,0
4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,1,0
25.0,92.51,0.23,4.29,21.59,396.48,0.03,22.03,12,3,2,1,0
7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,1,0
31.0,131.69,0.09,11.2,11.76,1474.88,0.04,81.94,6,0,0,1,0
19.0,68.11,0.2,4.9,13.9,333.76,0.02,18.54,10,2,1,1,0
66.0,285.25,0.07,14.5,19.67,4136.09,0.1,229.78,26,0,2,1,0
29.0,123.19,0.2,5.09,24.2,627.15,0.04,34.84,9,0,3,1,0
51.0,233.83,0.13,7.5,31.18,1753.75,0.08,97.43,14,0,1,1,0
29.0,129.32,0.14,7.2,17.96,931.13,0.04,51.73,11,0,1,1,0
38.0,166.91,0.1,9.9,16.86,1652.39,0.06,91.8,9,0,1,1,0
69.0,320.43,0.11,9.0,35.6,2883.83,0.11,160.21,19,18,4,1,0
14.0,44.38,0.2,5.0,8.88,221.89,0.01,12.33,5,0,0,1,0
31.0,131.69,0.29,3.46,38.04,455.84,0.04,25.32,8,0,1,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
26.0,104.0,0.19,5.14,20.22,534.86,0.03,29.71,10,4,4,1,0
37.0,159.91,0.17,6.0,26.65,959.47,0.05,53.3,11,0,4,1,0
21.0,66.57,0.25,4.0,16.64,266.27,0.02,14.79,3,0,0,1,0
9.0,25.27,0.27,3.75,6.74,94.75,0.01,5.26,5,1,1,1,0
143.0,775.96,0.06,15.69,49.46,12174.48,0.26,676.36,34,1,7,1,0
78.0,403.25,0.11,9.33,43.24,3760.78,0.13,208.93,19,1,3,1,0
8.0,22.46,0.5,2.0,11.23,44.92,0.01,2.5,3,0,0,1,0
8.0,20.68,0.67,1.5,13.79,31.02,0.01,1.72,3,0,1,1,0
17.0,60.94,0.5,2.0,30.47,121.89,0.02,6.77,3,0,2,1,0
19.0,65.73,0.28,3.6,18.26,236.63,0.02,13.15,10,0,0,1,0
60.0,294.41,0.1,9.94,29.62,2926.82,0.1,162.6,17,3,1,1,0
119.0,694.11,0.07,14.58,47.6,10122.49,0.23,562.36,35,7,3,1,0
